timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653601873438,115,GetHost,200,OK,CloseIssueThreadGroup 3-1,text,true,,5861,282,1,3,http://localhost/login_page.php,63,0,1
1653601873438,115,GetHost,200,OK,CreateIssueThreadGroup 2-1,text,true,,5861,282,1,3,http://localhost/login_page.php,64,0,0
1653601873438,63,GetHost-0,302,Found,CloseIssueThreadGroup 3-1,text,true,,711,111,1,3,http://localhost/,63,0,1
1653601873438,64,GetHost-0,302,Found,CreateIssueThreadGroup 2-1,text,true,,711,111,1,3,http://localhost/,64,0,0
1653601873501,52,GetHost-1,200,OK,CloseIssueThreadGroup 3-1,text,true,,5150,171,1,3,http://localhost/login_page.php,52,0,0
1653601873502,51,GetHost-1,200,OK,CreateIssueThreadGroup 2-1,text,true,,5150,171,1,3,http://localhost/login_page.php,51,0,0
1653601873438,116,GetHost,200,OK,LoginThreadGroup 1-1,text,true,,5861,282,1,3,http://localhost/login_page.php,65,0,1
1653601873438,65,GetHost-0,302,Found,LoginThreadGroup 1-1,text,true,,711,111,1,3,http://localhost/,65,0,1
1653601873503,51,GetHost-1,200,OK,LoginThreadGroup 1-1,text,true,,5150,171,1,3,http://localhost/login_page.php,51,0,0
1653601873554,53,POSTLogin,200,OK,CreateIssueThreadGroup 2-1,text,true,,5535,298,1,3,http://localhost/login_password_page.php,53,0,0
1653601873554,54,POSTLogin,200,OK,CloseIssueThreadGroup 3-1,text,true,,5535,298,1,3,http://localhost/login_password_page.php,54,0,0
1653601873554,54,POSTLogin,200,OK,LoginThreadGroup 1-1,text,true,,5535,298,1,3,http://localhost/login_password_page.php,54,0,0
1653601873608,244,POSTPassword_reporter,200,OK,CloseIssueThreadGroup 3-1,text,true,,21775,1190,1,3,http://localhost/my_view_page.php,61,0,0
1653601873608,61,POSTPassword_reporter-0,302,Found,CloseIssueThreadGroup 3-1,text,true,,838,320,1,3,http://localhost/login.php,61,0,0
1653601873669,49,POSTPassword_reporter-1,302,Found,CloseIssueThreadGroup 3-1,text,true,,637,307,1,3,http://localhost/login_cookie_test.php?return=index.php,49,0,0
1653601873718,50,POSTPassword_reporter-2,302,Found,CloseIssueThreadGroup 3-1,text,true,,644,278,1,3,http://localhost/index.php,50,0,0
1653601873768,84,POSTPassword_reporter-3,200,OK,CloseIssueThreadGroup 3-1,text,true,,19656,285,1,3,http://localhost/my_view_page.php,84,0,0
1653601873608,249,POSTPassword,200,OK,LoginThreadGroup 1-1,text,true,,22277,1188,1,3,http://localhost/my_view_page.php,59,0,0
1653601873608,59,POSTPassword-0,302,Found,LoginThreadGroup 1-1,text,true,,838,318,1,3,http://localhost/login.php,59,0,0
1653601873667,53,POSTPassword-1,302,Found,LoginThreadGroup 1-1,text,true,,637,307,1,3,http://localhost/login_cookie_test.php?return=index.php,53,0,0
1653601873720,52,POSTPassword-2,302,Found,LoginThreadGroup 1-1,text,true,,644,278,1,3,http://localhost/index.php,52,0,0
1653601873772,85,POSTPassword-3,200,OK,LoginThreadGroup 1-1,text,true,,20158,285,1,3,http://localhost/my_view_page.php,85,0,0
1653601873607,251,POSTPassword,200,OK,CreateIssueThreadGroup 2-1,text,true,,22277,1188,1,3,http://localhost/my_view_page.php,59,0,0
